X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,latitude,longitude
30454.8249137299,35601.8757183012,52439,B03,OPP BLK 5,,
25547.7491137292,29821.1527183,10119,B14,OPP PACIFIC TECH CTR,,
16613.7853137292,36196.9910183009,28351,B17,OPP BLK 350,,
29780.6421137294,36705.1529182997,53229,B04,BLK 501,,
35058.9558137292,30937.840718301,91101,B03,TG KATONG FLYOVER,,
16482.2881137291,47421.3435183,49209,B01,SG BULOH WETLAND RESERVE,,
34592.9901137296,40969.1229183003,67331,B05,BLK 200B,,
6295.76721372921,36218.9440183006,25411,B01,BEF TUAS TER,,
33185.0241137296,32492.5648183003,80251,B01,AFT LOR 14 GEYLANG,,
33200.5324137295,32146.5190182999,80141,B04,OPP S.A. DEAF,,
30002.6222137297,36384.1207183003,53409,B03,BLK 131,,
26433.3578137299,48330.6654183008,58121,B07,BLK 424A CP,,
27402.9135137293,38551.1365182996,53091,B15,BEF ANG MO KIO AVE 1,,
39862.6514137294,39771.928418301,77249,B18,BLK 640,,
41172.43011373,38933.692718301,77369,B05,OPP BLK 555,,
43200.9523137296,38386.8449183013,97119,B42,AFT TOH CL,,
30148.8604137292,33918.1419182997,50211,NIL,OPP BALESTIER PT,,
24124.23991373,28521.2096183002,15159,B04,MAPLETREE BUSINESS CITY,,
19414.1684137294,37033.6438183002,43439,B05,BLK 242,,
34199.5560137294,37879.875818301,63269,B06,BLK 232,,
30397.90161373,39587.6036182996,54571,B11,BLK 532,,
27243.6491137296,45890.3092183005,57111,B15,OPP BLK 101,,
13893.1484137299,36372.8867183011,21379,B01,BLK 263,,
41896.6893137293,38968.9078183006,78069,B06,BLK 442,,
7563.96851372998,33472.2209182996,26131,B05,AFT TUAS CRES,,
33550.2308137296,32566.9565182999,81169,B03,OPP BLK 56,,
25846.6137137292,34177.5594183002,41129,B06,OPP S'PORE BIBLE COLLEGE,,
9368.09621372912,31770.4936183002,24379,B03,OPP ASIA IND GASES,,
32181.19001373,37020.3680183012,66389,B02,S'GOON STN EXIT F,,
14787.6649137298,35144.0888183005,21521,B01,PB PACKAGING SYSTEMS,,
23248.6024137298,45891.8439183012,46979,B12,OPP BLK 507,,
9240.00921372976,34049.6529182997,24501,B61,BEF TUAS FLYOVER,,
13396.0353137292,32905.3624183014,22041,B03,AFT TG KLING RD,,
23165.7965137297,46308.7566183005,46649,B03,BLK 515,,
18190.8544137292,36587.0285183005,43379,B04,BLK 185,,
38743.2885137293,34759.2985183001,84321,B08,BLK 516,,
20604.6410137294,30701.2744183,17011,B01,OPP VARSITY PK,,
27111.0713137295,47517.7710183002,58031,UNK,OPP CANBERRA DR,,
13269.9653137298,36681.3098183013,27379,B01,BLK 755,,
29476.2035137294,36475.6662183013,53219,B01,RAFFLES INSTN,,
14065.5382137299,36329.9189183004,21399,B05,OPP RIVER VALLEY HIGH SCH,,
19047.3461137293,32758.5064183008,20319,B04,BLK T PANDAN LIGHT IND PK,,
19330.4634137293,39901.9829182997,44131,B04,BLK 26,,
21702.9337137295,34470.7280183006,12099,B06,OPP SIM HQ,,
30366.4848137293,36587.7924183011,53289,B02,ZION BIBLE PRESBY CH,,
15445.9094137298,34326.257418301,21559,B04,CISCO RECALL,,
28932.4195137294,37960.6100182999,53159,B11,BLK 260,,
28610.2610137295,36439.3732182998,53019,B02,OPP ST. THERESA'S HOME,,
36763.4098137291,35355.1658183001,84701,B07,BLK 151,,
34607.7736137295,40031.1606182996,64579,B04,BET BLKS 544/546,,
23063.6292137299,48130.2679182999,47039,B23,AFT VIEW RD,,
27481.9785137298,38092.2383182999,53079,B14,FLAME TREE PK,,
15394.2862137295,36264.5195183009,28091,B23,LAKESIDE STN,,
32821.5792137291,32901.1959183011,80071,B05,YI XIU FTY BLDG,,
21226.6551137296,30990.8015183005,16181,B04,CTRL LIB,,
6363.83621372934,33423.0435183011,26069,B11,AFT TUAS AVE 16,,
28037.0379137294,46490.4083182998,59251,B15,OPP DARUL MAKMUR MQUE,,
22209.6779137291,32430.9389183,19021,B05,SP SMA,,
41012.0001137294,35256.1147183012,84431,B10,BLK 3014,,
34468.8863137299,37321.2843183,63091,B12,OPP BLK 106,,
21729.1835137298,46729.8301183004,46079,B05,OPP BLK 137,,
27247.3769137291,45477.7993183006,57081,B13,OPP BLK 713,,
22023.0102137299,43598.2069183011,48029,B19,BEF MANDAI LAKE RD,,
18485.8093137294,42135.9820183013,45329,B08,OPP YEW TEE STN,,
20615.8840137292,40078.4002183005,44191,B01,OPP BLK 171,,
6179.90971372928,34551.9755183011,25399,B09,AFT PIONEER RD,,
30333.6327137295,37694.2293183003,54109,B04,BEF ANG MO KIO AVE 10,,
22700.6408137297,31120.5893182997,18129,B07,AYER RAJAH IND EST,,
12420.8030137299,38627.5791183002,31039,B05,OPP CIVIL DEFENCE ACAD,,
23188.5368137294,47114.0219183005,46449,B04,BLK 875,,
32055.6165137291,33577.5542182997,60039,B06,OPP BLK 66,,
18017.06611373,35973.2581182998,28621,B07,BLK 241,,
40406.8020137297,37663.3294182997,76191,B03,BLK 401,,
34651.1930137295,41557.1588183008,67449,B03,BLK 323B,,
42496.7625137297,34596.4261183012,96271,B03,OPP GLOBAL LOGISTICS CTR,,
37424.9412137298,33669.2175182998,83099,B14,AFT PERPETUAL SUCCOUR CH,,
40506.4717137292,39895.7454183009,77199,B14,OPP BLK 500A,,
35658.3967137299,38274.7241182998,64229,B10,BEF DEFU AVE 2,,
20624.3761137296,31268.1154183,17389,B04A,OPP WEST BAY RESORT CONDO,,
27435.2038137298,38455.7029183004,53089,B16,FABER GDN,,
20871.7987137297,39756.7411183007,44219,B04,BET BLKS 139/140,,
38471.8683137298,35681.3708183002,84619,B20,WATERFRONT ISLE,,
42928.8645137297,38367.6781182997,97101,B39,BEF JLN MARIAM,,
21405.6837137295,46447.1989182997,46589,B07,BLK 146,,
18545.2285137298,36350.7990183011,43511,B07,BT BATOK SWIM CPLX,,
10077.8378137294,33586.2822182998,24249,B06,ASIATIC AGRICULTURAL IND,,
35554.5189137291,34992.3417183012,71089,B03,OPP EUNOS TECHNOLINK,,
15693.6534137297,32859.0725183003,21079,B16,OPP JURONG ABATTOIR,,
